date,state,customers_elec,price_elec,revenue_elec,sales_elec
2001-11,CO,,5.73,197.05361,3440.97983
2001-11,CA,,11.16,2116.90572,18974.18846
2001-11,NV,,7.23,143.6207,1985.42317
2001-11,NE,,5.04,93.13713,1847.21648
2001-11,MT,,6.22,55.76372,896.07911
2001-11,MO,,5.36,276.99338,5171.72601
2001-11,MS,,5.82,184.02549,3163.66085
2001-11,MN,,5.52,259.1864,4695.47488
2001-11,NH,,10.37,82.12528,792.2038
2001-11,TX,,6.92,1542.94254,22298.17342
2001-11,TN,,5.58,391.93353,7024.15683
2001-11,SD,,6.13,40.92411,667.24349
2001-11,SC,,5.55,302.08086,5445.32974
2001-11,RI,,10.62,59.67178,562.09921
2001-11,PA,,7.87,821.9469,10438.07727
2001-11,OR,,6.47,233.50179,3607.09664
2001-11,OK,,4.43,165.2433,3730.58886
2001-11,OH,,6.44,733.88586,11400.68885
2001-11,ND,,5.21,41.7689,801.23841
2001-11,NC,,6.47,566.77884,8762.96005
2001-11,NY,,10.61,1190.72156,11217.38284
2001-11,NM,,6.86,99.08068,1444.37355
2001-11,NJ,,9.12,497.88638,5459.2638
2001-11,MI,,6.85,536.12208,7829.0464
2001-11,MA,,11.06,446.81865,4040.47348
2001-11,MD,,5.88,269.50775,4580.12244
2001-11,ME,,9.83,101.10274,1028.93429
2001-11,LA,,5.45,294.62231,5406.56802
2001-11,KY,,3.9,250.58202,6418.01855
2001-11,KS,,5.6,144.2699,2575.4026
2001-11,IA,,5.52,182.97582,3315.84986
2001-11,IN,,5.36,384.79929,7177.10836
2001-11,IL,,6.88,686.15772,9966.28185
2001-11,ID,,5.31,84.43756,1589.57148
2001-11,HI,,13.63,109.32998,802.28591
2001-11,WY,,4.55,49.30379,1084.55828
2001-11,WI,,6.01,299.89189,4992.22934
2001-11,WV,,5.1,106.81544,2096.41988
2001-11,WA,,5.84,341.24242,5842.66665
2001-11,VA,,6.11,437.39748,7163.3551
2001-11,VT,,10.89,49.02702,450.07973
2001-11,UT,,5.12,89.9463,1756.69405
2001-11,AR,,5.54,161.21181,2907.91144
2001-12,AL,,5.53,321.72856,5814.56404
2001-12,NV,,7.99,174.47825,2185.02892
2001-12,NE,,5.04,101.74038,2017.17134
2001-12,MT,,6.39,61.97589,970.50777
2001-12,MO,,5.42,325.01211,5992.16218
2001-12,MS,,5.88,192.21873,3268.51999
2001-12,MN,,5.68,289.57362,5099.37284
2001-12,MI,,6.91,573.67502,8301.39825
2001-12,MA,,10.97,484.00221,4410.52502
2001-12,MD,,5.86,293.90154,5015.80539
2001-12,ME,,11.0,116.84422,1061.74789
2001-12,LA,,5.21,284.32051,5460.99986
2001-12,CT,,9.66,264.70805,2740.62243
2001-12,CO,,5.71,216.11334,3786.13993
2001-12,CA,,11.07,2209.70314,19959.27055
2001-12,AR,,5.67,176.28362,3106.75713
2001-12,WY,,4.48,51.15652,1141.66873
