state,value,date
LA,3.9785714285714286,2022-02-01
LA,3.723225806451613,2019-03-01
LA,3.8706451612903225,2020-03-01
LA,4.218064516129032,2021-03-01
LA,4.081935483870968,2022-03-01
LA,3.8066666666666666,2019-04-01
LA,3.5116666666666663,2020-04-01
LA,3.7179999999999995,2021-04-01
LA,4.026666666666666,2022-04-01
LA,3.313548387096774,2019-05-01
LA,3.3116129032258064,2020-05-01
LA,3.667741935483871,2021-05-01
LA,3.1380645161290324,2022-05-01
LA,2.978,2019-06-01
LA,3.1079999999999997,2020-06-01
LA,2.9506666666666663,2021-06-01
LA,2.5286666666666666,2022-06-01
LA,3.008387096774194,2019-07-01
LA,2.8380645161290325,2020-07-01
LA,2.0038709677419355,2021-07-01
LA,2.0561290322580645,2022-07-01
LA,2.1658064516129034,2019-08-01
LA,2.631612903225806,2020-08-01
LA,2.4254838709677418,2021-08-01
LA,2.0019354838709678,2022-08-01
LA,2.3066666666666666,2019-09-01
LA,3.428,2020-09-01
LA,2.359666666666667,2021-09-01
LA,2.3246666666666664,2022-09-01
LA,3.071290322580645,2019-10-01
LA,3.2140322580645164,2020-10-01
LA,2.596774193548387,2021-10-01
LA,2.6451612903225805,2022-10-01
LA,3.08,2019-11-01
LA,3.0900000000000003,2020-11-01
LA,2.57,2021-11-01
LA,3.3826666666666667,2022-11-01
LA,3.5103225806451617,2019-12-01
LA,3.2922580645161292,2020-12-01
LA,3.2393548387096773,2021-12-01
LA,3.141935483870968,2022-12-01
MA,3.929032258064516,2019-01-01
MA,3.332258064516129,2020-01-01
MA,3.582258064516129,2021-01-01
MA,3.5548387096774197,2022-01-01
MA,3.6464285714285714,2019-02-01
MA,2.972413793103448,2020-02-01
MA,3.1714285714285713,2021-02-01
MA,3.6999999999999997,2022-02-01
MA,3.7516129032258063,2019-03-01
MA,3.859677419354839,2020-03-01
MA,4.280645161290322,2021-03-01
MA,3.8629032258064515,2022-03-01
MA,3.9133333333333336,2019-04-01
MA,4.11,2020-04-01
MA,3.871666666666667,2021-04-01
MA,4.093333333333333,2022-04-01
MA,3.1822580645161294,2019-05-01
MA,3.8435483870967744,2020-05-01
MA,3.1951612903225803,2021-05-01
MA,3.2161290322580647,2022-05-01
MA,2.8699999999999997,2019-06-01
MA,2.743333333333333,2020-06-01
MA,3.04,2021-06-01
MA,2.996666666666667,2022-06-01
MA,2.370967741935484,2019-07-01
MA,2.738709677419355,2020-07-01
MA,2.45,2021-07-01
MA,2.9306451612903226,2022-07-01
MA,2.520967741935484,2019-08-01
MA,2.7435483870967743,2020-08-01
MA,2.324193548387097,2021-08-01
MA,2.745161290322581,2022-08-01
MA,2.6483333333333334,2019-09-01
MA,2.8400000000000003,2020-09-01
MA,2.7933333333333334,2021-09-01
MA,2.69,2022-09-01
MA,3.0016129032258063,2019-10-01
MA,2.6177419354838714,2020-10-01
MA,2.675806451612903,2021-10-01
MA,2.353225806451613,2022-10-01
MA,3.4233333333333333,2019-11-01
MA,3.01,2020-11-01
MA,2.8666666666666667,2021-11-01
MA,3.3316666666666666,2022-11-01
MA,3.2758064516129033,2019-12-01
MA,3.475806451612903,2020-12-01
MA,2.856451612903226,2021-12-01
MA,3.606451612903226,2022-12-01
MD,3.6274193548387097,2019-01-01
MD,3.425806451612903,2020-01-01
MD,3.0516129032258066,2021-01-01
MD,3.351612903225807,2022-01-01
MD,3.5625,2019-02-01
MD,3.2758620689655173,2020-02-01
MD,3.485714285714286,2021-02-01
MD,3.669642857142857,2022-02-01
MD,4.091935483870968,2019-03-01
MD,3.638709677419355,2020-03-01
MD,3.885483870967742,2021-03-01
MD,4.695161290322581,2022-03-01
MD,4.335,2019-04-01
MD,4.671666666666667,2020-04-01
MD,4.47,2021-04-01
MD,4.335,2022-04-01
MD,3.4919354838709675,2019-05-01
MD,4.206451612903226,2020-05-01
MD,3.5870967741935487,2021-05-01
MD,3.6274193548387097,2022-05-01
MD,3.7983333333333333,2019-06-01
MD,3.56,2020-06-01
MD,3.2866666666666666,2021-06-01
MD,3.3383333333333334,2022-06-01
MD,2.7193548387096773,2019-07-01
MD,2.8741935483870966,2020-07-01
MD,3.114516129032258,2021-07-01
MD,2.5870967741935487,2022-07-01
MD,2.9048387096774193,2019-08-01
MD,2.988709677419355,2020-08-01
MD,2.5983870967741933,2021-08-01
MD,2.8629032258064515,2022-08-01
MD,2.7,2019-09-01
MD,2.731666666666667,2020-09-01
MD,3.2116666666666664,2021-09-01
MD,2.921666666666667,2022-09-01
MD,3.229032258064516,2019-10-01
MD,2.6919354838709677,2020-10-01
MD,3.0016129032258063,2021-10-01
MD,2.8677419354838714,2022-10-01
MD,3.018333333333333,2019-11-01
MD,2.8733333333333335,2020-11-01
MD,2.8333333333333335,2021-11-01
MD,3.0450000000000004,2022-11-01
MD,3.1193548387096777,2019-12-01
MD,3.411290322580645,2020-12-01
MD,2.791935483870968,2021-12-01
MD,2.9548387096774196,2022-12-01
ME,2.429032258064516,2019-01-01
ME,1.6725806451612903,2020-01-01
ME,2.17258064516129,2021-01-01
ME,2.075806451612903,2022-01-01
ME,2.6732142857142853,2019-02-01
ME,1.956896551724138,2020-02-01
ME,2.0285714285714285,2021-02-01
ME,2.6392857142857147,2022-02-01
ME,2.301612903225806,2019-03-01
ME,2.45,2020-03-01
ME,2.7887096774193547,2021-03-01
ME,2.411290322580645,2022-03-01
ME,2.7116666666666664,2019-04-01
ME,2.725,2020-04-01
ME,2.6599999999999997,2021-04-01
ME,2.6733333333333333,2022-04-01
ME,2.003225806451613,2019-05-01
ME,2.674193548387097,2020-05-01
ME,2.1258064516129034,2021-05-01
ME,2.129032258064516,2022-05-01
ME,1.8483333333333334,2019-06-01
ME,1.7333333333333334,2020-06-01
ME,1.9116666666666666,2021-06-01
ME,1.8966666666666667,2022-06-01
ME,1.4435483870967742,2019-07-01
ME,1.564516129032258,2020-07-01
ME,1.585483870967742,2021-07-01
ME,1.8370967741935484,2022-07-01
ME,1.4016129032258065,2019-08-01
ME,1.6564516129032258,2020-08-01
ME,1.2016129032258065,2021-08-01
ME,1.4919354838709677,2022-08-01
ME,1.585,2019-09-01
ME,1.8766666666666665,2020-09-01
ME,1.6166666666666667,2021-09-01
ME,1.605,2022-09-01
ME,1.7548387096774194,2019-10-01
ME,1.803225806451613,2020-10-01
ME,1.6193548387096774,2021-10-01
ME,1.361290322580645,2022-10-01
ME,2.315,2019-11-01
ME,1.8716666666666666,2020-11-01
ME,1.7883333333333333,2021-11-01
ME,2.1983333333333333,2022-11-01
ME,2.1693548387096775,2019-12-01
ME,2.366129032258064,2020-12-01
ME,1.8806451612903226,2021-12-01
ME,2.520967741935484,2022-12-01
MI,4.353225806451612,2019-01-01
MI,3.769354838709677,2020-01-01
MI,3.4016129032258067,2021-01-01
MI,3.985483870967742,2022-01-01
MI,4.260714285714285,2019-02-01
MI,4.239655172413793,2020-02-01
MI,3.8178571428571426,2021-02-01
MI,4.348214285714286,2022-02-01
MI,3.824193548387097,2019-03-01
MI,3.9661290322580647,2020-03-01
MI,4.261290322580645,2021-03-01
MI,3.9983870967741937,2022-03-01
MI,4.345,2019-04-01
MI,3.868333333333333,2020-04-01
MI,3.396666666666667,2021-04-01
MI,3.9566666666666666,2022-04-01
MI,3.3096774193548386,2019-05-01
MI,3.5935483870967744,2020-05-01
MI,3.096774193548387,2021-05-01
MI,3.454838709677419,2022-05-01
MI,3.0516666666666667,2019-06-01
MI,3.0316666666666667,2020-06-01
MI,3.033333333333333,2021-06-01
MI,3.0033333333333334,2022-06-01
MI,2.7854838709677416,2019-07-01
